FullAddress,PrimaryAddress,SecondaryAddress,City,State,ZipCode,OrderRevenue,OrderDate,OrderNumber,CustomerID,FirstTimeOrder
6455 Daniel Junction Suite 968,6455 Daniel Junction,Suite 968,North Adriana,LA,85774,537.34,2021-01-01,47300292,U2287863,1
65222 Pham Track Apt. 288,65222 Pham Track,Apt. 288,Brayville,CT,77301,533.99,2021-01-01,54684959,U1833777,0
6107 George Inlet Apt. 321,6107 George Inlet,Apt. 321,West Marcusview,TX,44798,682.96,2021-01-01,13010812,U6536099,1
96957 Erin Viaduct Apt. 559,96957 Erin Viaduct,Apt. 559,Rebeccaview,AZ,71314,196.07,2021-01-01,66258615,U5510641,1
USCGC Garza,USCGC Garza,,FPO,AA,69348,196.43,2021-01-01,17141112,U1127543,1
9666 Smith Squares,9666 Smith Squares,,Williamchester,TN,58603,765.86,2021-01-01,83993389,U9296979,1
439 Rachel Mill,439 Rachel Mill,,South Carmenton,OR,07059,915.42,2021-01-01,72427720,U9872338,1
9607 Tyler Oval,9607 Tyler Oval,,East Johnburgh,TN,41092,380.2,2021-01-01,82436805,U7665218,0
987 Stanley Mountains Suite 053,987 Stanley Mountains,Suite 053,Michaelhaven,TN,01432,562.54,2021-01-01,46824253,U3127247,0
3615 Reeves Flat Apt. 689,3615 Reeves Flat,Apt. 689,Pamelamouth,NY,18909,171.09,2021-01-01,43382460,U9486401,1
0772 Charles Plaza,0772 Charles Plaza,,New Danielstad,TN,43747,574.58,2021-01-01,43382460,U7986885,1
08197 Kayla Islands Apt. 775,08197 Kayla Islands,Apt. 775,Brandonland,VA,66572,371.71,2021-01-01,22515335,U9541682,0
430 Christian Square,430 Christian Square,,Franciscostad,VA,06498,707.38,2021-01-01,30820351,U8220347,0
60786 Osborne Radial Apt. 052,60786 Osborne Radial,Apt. 052,South Carmenhaven,IL,12705,381.03,2021-01-01,56540912,U6198146,1
75653 Kimberly Oval Suite 936,75653 Kimberly Oval,Suite 936,Alyssafort,NC,45632,251.86,2021-01-01,44788423,U5873334,1
USCGC Martinez,USCGC Martinez,,FPO,AA,38539,137.18,2021-01-01,31349024,U8536332,1
4867 Smith Mill North,4867 Smith Mill North,,Danielstad,KS,78118,721.26,2021-01-02,18189500,U3391456,1
43596 Hill Ports Suite 526,43596 Hill Ports,Suite 526,Brownville,WI,84818,212.6,2021-01-02,48233086,U4420499,1
50892 Michael Fork Apt. 597,50892 Michael Fork,Apt. 597,South Jenniferchester,NJ,27254,918.43,2021-01-02,98539833,U3435759,0
46327 Ray Rue,46327 Ray Rue,,Joshuaborough,VA,06114,685,2021-01-02,52734333,U2371642,1
PSC 9726 Box 5715,PSC 9726,Box 5715,APO,AE,13061,147.54,2021-01-02,79331091,U6019547,1
19722 Mendoza Skyway Apt. 784,19722 Mendoza Skyway,Apt. 784,New Laura,SC,18408,175.48,2021-01-02,26460380,U6489749,0
5320 Mitchell Meadows Apt. 362,5320 Mitchell Meadows,Apt. 362,North Brenda,ME,37871,263,2021-01-02,90125741,U2498864,0
7298 Poole Pass,7298 Poole Pass,,Vincentville,WV,77441,346.15,2021-01-02,47555472,U4477627,0
917 Castro Divide Suite 623,917 Castro Divide,Suite 623,West Davidville,OK,41743,409.72,2021-01-02,69408821,U1412619,0
USCGC Smith,USCGC Smith,,FPO,AE,83983,175.23,2021-01-02,48740351,U8278089,0
1290 Jonathan Crest Suite 668,1290 Jonathan Crest,Suite 668,Rebekahborough,DE,58899,460.11,2021-01-02,21665534,U2907057,0
465 Rachel Shore Apt. 035,465 Rachel Shore,Apt. 035,Calebtown,OH,14383,735.45,2021-01-02,13402522,U2394130,0
4301 Smith Throughway Suite 553,4301 Smith Throughway,Suite 553,Lake Amandamouth,DC,77707,18.25,2021-01-02,33655138,U5221081,1
1259 Brown Keys Apt. 660,1259 Brown Keys,Apt. 660,Garciaberg,FL,35028,343.21,2021-01-02,60597729,U8764083,1
451 Monroe Field,451 Monroe Field,,Davidville,FL,57579,211.34,2021-01-02,96721169,U4871688,0
745 Charles Fields Suite 123,745 Charles Fields,Suite 123,East Tamara,OH,45856,343.84,2021-01-02,61097064,U1668804,0
692 Simmons Key Port,692 Simmons Key Port,,Melissa,AR,40517,419.74,2021-01-02,86052735,U6969740,1
1241 Justin Knolls Apt. 803,1241 Justin Knolls,Apt. 803,North Sandra,VT,13644,333.23,2021-01-02,51901354,U8296426,1
5345 Roberts Cliff Apt. 053,5345 Roberts Cliff,Apt. 053,Ricardostad,NJ,73492,605.38,2021-01-02,85248870,U2381693,1
720 Patel Divide Apt. 728,720 Patel Divide,Apt. 728,Jennifershire,OH,12174,724.03,2021-01-02,43209555,U8968075,1
4554 Smith Lock,4554 Smith Lock,,Kennethfort,FL,16021,821.3,2021-01-02,21530914,U3755263,1
840 Jeffrey Walks Apt. 443,840 Jeffrey Walks,Apt. 443,South Christina,FL,14085,922.36,2021-01-02,27594816,U2313450,1
PSC 5045 Box 0947,PSC 5045,Box 0947,APO,AA,99003,527.73,2021-01-03,60494566,U6186576,0
59461 Betty Crossing Suite 122,59461 Betty Crossing,Suite 122,New Jacob,SD,64412,707.04,2021-01-03,23490286,U2416160,0
542 Wilson Wells Port,542 Wilson Wells Port,,Kimberly,WI,36772,815.84,2021-01-03,56313716,U1631170,1
146 Edwards Pike Suite 267,146 Edwards Pike,Suite 267,West Christinaview,OH,07037,475.17,2021-01-03,26841345,U6230414,1
84382 Gabriela Fords Apt. 256,84382 Gabriela Fords,Apt. 256,Jenningsstad,CO,78466,556.66,2021-01-03,40856932,U4041135,0
244 William Centers Apt. 164,244 William Centers,Apt. 164,Andrewston,NC,31040,592.35,2021-01-03,38459339,U1626574,1
756 Chris Trail,756 Chris Trail,,Williamshaven,NY,72092,195.84,2021-01-03,10756344,U9723270,1
PSC 4904 Box 6733,PSC 4904,Box 6733,APO,AP,54335,577.83,2021-01-03,38281301,U2658825,0
9711 Goodman Parkways,9711 Goodman Parkways,,West Autumnmouth,MT,05949,866.54,2021-01-03,27722923,U1912269,0
152 Barrera Spurs Suite 085,152 Barrera Spurs,Suite 085,Port Gregory,GA,72132,605.27,2021-01-03,58394273,U5511738,1
5092 Marsh Plains South,5092 Marsh Plains South,,Christiantown,NJ,75949,380.05,2021-01-03,23207474,U3933430,1
41164 Freeman Road Suite 008,41164 Freeman Road,Suite 008,West Jenniferborough,NV,61969,498.33,2021-01-03,23665294,U3957663,1
5955 Jesus Streets Apt. 012,5955 Jesus Streets,Apt. 012,West Troy,DC,00930,722.31,2021-01-03,88818809,U4057166,0
PSC 2834 Box 2724,PSC 2834,Box 2724,APO,AP,61443,223.62,2021-01-03,19362738,U6085502,0
5102 Brenda Rapids Suite 070,5102 Brenda Rapids,Suite 070,Port Janetbury,CA,73749,740.13,2021-01-03,64302133,U9751696,0
075 Madison Valley,075 Madison Valley,,Lovehaven,HI,16456,766.79,2021-01-03,81989047,U4698644,1
850 Michael Lake,850 Michael Lake,,Gomezfort,MA,76934,315.43,2021-01-03,68882767,U8106471,0
9777 Gary Skyway,9777 Gary Skyway,,Lake Stacy,KS,78322,255.65,2021-01-03,32244016,U7629393,1
USNV Morales,USNV Morales,,FPO,AP,31415,602.67,2021-01-03,61684463,U9150562,1
7925 Snow Brooks Apt. 308,7925 Snow Brooks,Apt. 308,Wilsonville,MO,90211,494.49,2021-01-03,17380923,U9515468,1
9637 Lori Trail,9637 Lori Trail,,Anthonyhaven,AL,50159,861.87,2021-01-03,12570728,U8033888,0
95484 Stephanie Knoll South,95484 Stephanie Knoll South,,Marthachester,NY,74723,777.37,2021-01-04,89396140,U6867902,0
168 Ian Islands Suite 156,168 Ian Islands,Suite 156,Lake Richardside,NH,46312,931.23,2021-01-04,60467215,U3698838,1
89800 Matthew Radial Suite 541,89800 Matthew Radial,Suite 541,Port Matthew,TN,38474,586.81,2021-01-04,83868580,U9132513,1
7567 Michelle Station,7567 Michelle Station,,New Charlesmouth,TX,02213,370.6,2021-01-04,78078142,U7549406,1
48216 Williams Knoll,48216 Williams Knoll,,Lake Meghanton,NJ,68453,555.85,2021-01-04,10756344,U6141662,1
4937 Lopez Port Apt. 294,4937 Lopez Port,Apt. 294,East Zachary,IL,20512,119.99,2021-01-04,28893693,U6056633,0
05109 Watts Rapid,05109 Watts Rapid,,Lake Meagan,AL,53584,647.83,2021-01-04,14457521,U5788512,1
34594 Gibson Gateway West,34594 Gibson Gateway West,,Angelafurt,CA,50395,807.09,2021-01-04,32297354,U8940230,0
053 Smith Fall Suite 551,053 Smith Fall,Suite 551,Lake Theresaborough,AL,21511,63.4,2021-01-04,13585626,U3852219,1
6014 Dennis Mission,6014 Dennis Mission,,Mollyland,CT,45283,74.86,2021-01-04,31635586,U1397230,0
9396 Hicks Stream Suite 767,9396 Hicks Stream,Suite 767,Joneshaven,HI,36278,466.24,2021-01-04,97526222,U3260123,1
73096 Howard Cliffs Suite 379,73096 Howard Cliffs,Suite 379,North Laurenshire,MS,05650,973.31,2021-01-04,85452420,U4809770,0
977 Jordan Shoal Apt. 324,977 Jordan Shoal,Apt. 324,Port Patrick,VT,46505,484.88,2021-01-04,11569859,U5739939,1
18417 Crystal Lake Suite 675,18417 Crystal Lake,Suite 675,West Lisahaven,NY,42495,808.66,2021-01-04,60226995,U7386917,1
936 Joshua Wall Port,936 Joshua Wall Port,,Mark,NM,93317,53.53,2021-01-04,39071540,U1948438,0
USNV Harper,USNV Harper,,FPO,AE,81190,736.15,2021-01-04,43083396,U7745437,1
11918 Ashley Park Apt. 853,11918 Ashley Park,Apt. 853,Nicholasport,MO,42993,159.7,2021-01-04,86455808,U7949989,0
55959 Jacobs Shoals Apt. 938,55959 Jacobs Shoals,Apt. 938,Stewartborough,NY,43201,812.09,2021-01-04,95743540,U9112830,1
327 Johnson Rapid,327 Johnson Rapid,,Carlfurt,WY,73208,923.54,2021-01-04,85089108,U2960512,0
1524 Jonathan Summit Apt. 059,1524 Jonathan Summit,Apt. 059,West Gregory,FL,41020,820.97,2021-01-04,30857810,U1932448,0
7738 Smith Club Apt. 805,7738 Smith Club,Apt. 805,South Rebeccamouth,NE,08270,265.65,2021-01-04,11875104,U5375101,0
4127 Church Street Suite 640,4127 Church Street,Suite 640,East Thomasfurt,OK,21157,155.83,2021-01-05,52907874,U3251003,0
1878 Hernandez Union,1878 Hernandez Union,,Port Wesley,IL,71973,483.11,2021-01-05,87519352,U6269410,0
50151 Richard Hills East,50151 Richard Hills East,,Rickyberg,PA,61333,137.03,2021-01-05,50061827,U9228943,1
522 Brenda Street,522 Brenda Street,,Kellystad,UT,60184,12.35,2021-01-05,29259245,U4446800,0
USNV Stewart,USNV Stewart,,FPO,AP,62041,164.29,2021-01-05,42114431,U8636692,1
028 Watson Dale,028 Watson Dale,,Michaelshire,NE,57295,859.33,2021-01-05,10338076,U1611566,0
2202 Gray Cove,2202 Gray Cove,,Nelsonberg,WV,27344,622.86,2021-01-05,43100916,U1333419,1
2434 Watkins Land Apt. 945,2434 Watkins Land,Apt. 945,East Lisaland,MI,13002,133.24,2021-01-05,24826439,U9767439,0
7780 Tammy Turnpike,7780 Tammy Turnpike,,South Susanfurt,NJ,54741,989.62,2021-01-05,84079906,U1065604,1
57852 Ronald Divide Apt. 482,57852 Ronald Divide,Apt. 482,New Willie,IN,18677,7.56,2021-01-05,71634817,U4112643,1
5572 Franco Glen Suite 470,5572 Franco Glen,Suite 470,Pamelafort,AR,18543,804.24,2021-01-05,41004748,U1006042,0
18092 Allen Expressway,18092 Allen Expressway,,North Christopher,NE,76903,893.69,2021-01-05,36407178,U5053855,0
03781 Rebekah Cove South,03781 Rebekah Cove South,,Robert,PA,44342,521.01,2021-01-05,21532452,U2511095,0
00632 Christine Plaza Suite 355,00632 Christine Plaza,Suite 355,New Melanie,MT,19431,980.95,2021-01-05,55221762,U6185436,0
7636 Jeffrey Mission Apt. 197,7636 Jeffrey Mission,Apt. 197,Garciaberg,NE,11258,636.41,2021-01-05,73275646,U6656670,1
4367 Sandra Prairie Apt. 968,4367 Sandra Prairie,Apt. 968,Guytown,GA,08253,765.59,2021-01-05,34501975,U2567339,0
89869 Martin Drive,89869 Martin Drive,,Port Dennis,AZ,40332,527.75,2021-01-05,44946602,U7805963,0
18177 Burns Stravenue,18177 Burns Stravenue,,North Kenneth,VT,32177,504.05,2021-01-05,26357493,U6915618,1
8205 Wilson Common Port,8205 Wilson Common Port,,Thomas,ME,75093,95.51,2021-01-05,11138779,U2701767,0
3513 Mcguire Parkways,3513 Mcguire Parkways,,Charlesstad,CO,46970,956.47,2021-01-05,64912194,U5643185,1
5170 Jason Flat,5170 Jason Flat,,Hartfort,TN,42469,105.58,2021-01-05,21118216,U9723034,0
55978 Mack Heights,55978 Mack Heights,,Oliviatown,FL,92070,575.47,2021-01-05,88116948,U9955724,0
85540 Long Fords Suite 823,85540 Long Fords,Suite 823,Crystalchester,CA,99915,82,2021-01-05,52208995,U5428632,1
5944 Matthew Cliffs,5944 Matthew Cliffs,,Mendozaberg,SC,00772,669.85,2021-01-05,97004627,U6817412,1
17014 Gilbert Parkways Suite 008,17014 Gilbert Parkways,Suite 008,Weavertown,NV,06527,959.91,2021-01-05,75539919,U7176850,1
83529 Castro Keys,83529 Castro Keys,,Bethanyberg,NE,88322,803.33,2021-01-06,11477815,U1146105,0
560 Teresa Alley East,560 Teresa Alley East,,Colleen,WY,14420,506.47,2021-01-06,41701453,U1436126,1
7870 Boyle Road Suite 581,7870 Boyle Road,Suite 581,New Keith,NY,24067,201.76,2021-01-06,36530129,U7659350,0
USCGC Edwards,USCGC Edwards,,FPO,AP,19279,712.35,2021-01-06,73184943,U8515365,1
30335 Freeman Mount Suite 787,30335 Freeman Mount,Suite 787,Danielfort,WY,35391,282.78,2021-01-06,64835773,U3510498,1
571 Robert Lodge,571 Robert Lodge,,Gilmorechester,CA,62227,653.71,2021-01-06,38902214,U3723971,0
583 George Rapid North,583 George Rapid North,,Jillland,WI,89799,970.74,2021-01-06,90815123,U5694244,0
4449 Williams Summit Apt. 778,4449 Williams Summit,Apt. 778,South Jeffreymouth,ND,59853,577.77,2021-01-06,92839308,U1757940,0
9072 Howard Dam Suite 931,9072 Howard Dam,Suite 931,East Raymond,TN,28360,924.83,2021-01-06,82075465,U7553971,0
998 Brittany Estate Apt. 707,998 Brittany Estate,Apt. 707,Fishertown,NV,04232,728.06,2021-01-06,19460674,U7959886,1
190 Parker Plains Apt. 193,190 Parker Plains,Apt. 193,Hoovertown,WI,46813,857.67,2021-01-06,62365759,U3431247,0
3856 Krystal Tunnel Suite 937,3856 Krystal Tunnel,Suite 937,South Melinda,ME,14937,617.17,2021-01-06,51740732,U6176293,1
2504 Mckinney Junctions Apt. 078,2504 Mckinney Junctions,Apt. 078,Mirandastad,TN,06508,850.01,2021-01-06,29290660,U6779790,0
194 Misty Creek,194 Misty Creek,,Hamiltonland,GA,86688,470.12,2021-01-06,85058439,U7086732,1
7758 Ramos Mews Apt. 414,7758 Ramos Mews,Apt. 414,Lake William,IL,57495,527.57,2021-01-06,86891677,U8779926,1
PSC 0876 Box 6113,PSC 0876,Box 6113,APO,AA,76801,98.44,2021-01-06,51641693,U3552660,1
0772 Torres Green,0772 Torres Green,,New Ian,TN,24156,61.87,2021-01-06,71493558,U5699994,0
375 Scott Ranch,375 Scott Ranch,,Evansland,ND,58624,567.2,2021-01-06,97414150,U7904485,1
6314 Lisa Route Suite 166,6314 Lisa Route,Suite 166,Wheelerville,TX,97805,443.2,2021-01-06,82503288,U9527949,1
998 Clark Lights Suite 579,998 Clark Lights,Suite 579,East Andrea,SC,25379,219.23,2021-01-06,58732506,U6808777,1
58650 Leonard Roads Suite 452,58650 Leonard Roads,Suite 452,North Christinafort,HI,71382,24.81,2021-01-06,83063157,U3001317,0
USS Forbes,USS Forbes,,FPO,AA,78743,517.26,2021-01-06,46667256,U1723750,1
62275 Mackenzie Plaza Apt. 401,62275 Mackenzie Plaza,Apt. 401,East Craig,DE,39553,630.57,2021-01-06,90997516,U1591537,1
40258 Vaughn Mission Apt. 774,40258 Vaughn Mission,Apt. 774,Brownfort,CT,52545,792.36,2021-01-06,76651321,U7998325,0
677 Johnson Stream Suite 518,677 Johnson Stream,Suite 518,South Eugene,AR,09320,286.02,2021-01-06,90692685,U9187129,0
835 Watkins Tunnel Apt. 583,835 Watkins Tunnel,Apt. 583,Jesusbury,FL,46148,658.15,2021-01-06,20617606,U2669293,1
92675 Cynthia Trace West,92675 Cynthia Trace West,,Craig,ME,82576,311.5,2021-01-06,32011859,U2072861,0
2133 Brown Course Suite 058,2133 Brown Course,Suite 058,South Jesus,KS,69492,780.74,2021-01-06,56457287,U8644024,1
58541 Greene Village,58541 Greene Village,,Anthonyberg,WA,08853,145.81,2021-01-06,32497976,U6862808,0
815 Parker Gateway,815 Parker Gateway,,Johnstonberg,VA,06253,882.34,2021-01-06,38635664,U1113138,0
14319 Barnes Fork Apt. 967,14319 Barnes Fork,Apt. 967,Websterborough,WY,18264,628.01,2021-01-06,18999361,U2075218,0
39044 Nathaniel Club,39044 Nathaniel Club,,Lake Dianatown,MI,36987,338.22,2021-01-06,79991145,U9757687,0
89349 Anthony Cove Apt. 824,89349 Anthony Cove,Apt. 824,Josephton,MS,80286,606.06,2021-01-06,34549958,U1062631,1
983 Morgan Drive Suite 096,983 Morgan Drive,Suite 096,North Tony,ME,03183,702.38,2021-01-06,58527018,U8253153,0
342 Tara Ridge Suite 051,342 Tara Ridge,Suite 051,Lake Kyle,IA,29831,19.67,2021-01-06,38963444,U4616824,0
1102 Jeffrey Freeway Suite 696,1102 Jeffrey Freeway,Suite 696,Ryanview,IL,98663,382.23,2021-01-06,71310942,U6165594,0
419 Sean Knoll Apt. 224,419 Sean Knoll,Apt. 224,Port Kelly,DC,01177,982.98,2021-01-06,26917923,U5201978,1
6956 Kane Branch Apt. 828,6956 Kane Branch,Apt. 828,North Joshuastad,TN,57037,940.4,2021-01-06,87751014,U8790947,0
4484 Moore Bypass Apt. 603,4484 Moore Bypass,Apt. 603,New Jessica,UT,95838,579.38,2021-01-07,11065956,U3521753,0
5533 Kristen Loop,5533 Kristen Loop,,New Jenniferberg,UT,91543,551.46,2021-01-07,85364096,U4036856,0
3841 Richardson Extension,3841 Richardson Extension,,Crystalfort,MS,90906,169.69,2021-01-07,87262795,U2257187,0
2481 Thomas Spur,2481 Thomas Spur,,North Loristad,TN,91128,101.07,2021-01-07,58120934,U4965634,0
77214 William Creek,77214 William Creek,,Cynthiatown,WV,32253,678.43,2021-01-07,16253762,U5261999,0
649 Phillips Junction,649 Phillips Junction,,Barberfort,DC,20189,419.96,2021-01-07,15869830,U1682616,1
30301 Garcia Lane,30301 Garcia Lane,,Whiteside,IA,63869,773.89,2021-01-07,92580014,U8357402,1
22962 Amber Extensions Apt. 439,22962 Amber Extensions,Apt. 439,Phamhaven,TX,31888,874.81,2021-01-07,69897316,U4828218,1
022 Bryan Villages Suite 015,022 Bryan Villages,Suite 015,North Deborahshire,MA,90843,555.59,2021-01-07,21220247,U9084193,0
595 Preston Point,595 Preston Point,,Philipshire,AL,71036,197.16,2021-01-07,36109307,U1256661,0
63149 Edwards Courts,63149 Edwards Courts,,North Madison,GA,54555,530.44,2021-01-07,86097602,U1000048,1
89538 Benson Crossroad Apt. 769,89538 Benson Crossroad,Apt. 769,New Jennifer,OK,92399,761.67,2021-01-07,28357979,U6854314,1
971 Jason Spur Apt. 277,971 Jason Spur,Apt. 277,Port Jasonberg,WY,34758,203.61,2021-01-07,72796647,U3100716,1
345 Amber Roads,345 Amber Roads,,Edwinhaven,OK,70927,780.64,2021-01-07,92640875,U1416022,0
915 Justin Keys,915 Justin Keys,,Cookstad,MO,93206,542.53,2021-01-07,41335250,U5229081,0
USS Wilkins,USS Wilkins,,FPO,AP,67021,932.27,2021-01-07,60208622,U3087287,0
9006 Jessica River,9006 Jessica River,,Lorimouth,VT,08586,507.88,2021-01-07,29089855,U9141531,0
190 Gomez Mill Suite 792,190 Gomez Mill,Suite 792,Frederickfort,TX,70006,369.31,2021-01-07,57831947,U8508703,1
851 Tiffany Spur,851 Tiffany Spur,,Scottshire,WI,73198,380.34,2021-01-07,51458451,U7337029,0
09203 Jones Landing,09203 Jones Landing,,West Steventon,WI,96896,171.14,2021-01-07,36173247,U6928580,0
1954 Mata Inlet Port,1954 Mata Inlet Port,,Kathleenland,DC,36517,429.52,2021-01-07,24671387,U1572624,0
896 Rogers Key Suite 057,896 Rogers Key,Suite 057,West Angelaburgh,ID,29900,149.59,2021-01-07,45417186,U6111902,1
382 Kimberly Brook Suite 545,382 Kimberly Brook,Suite 545,Lake Christopher,IL,36564,113.57,2021-01-07,70836105,U6870704,0
76166 Haney Divide Apt. 794,76166 Haney Divide,Apt. 794,Hannahfurt,KY,56784,999.39,2021-01-07,30723215,U1561764,1
7168 Kennedy Alley Apt. 062,7168 Kennedy Alley,Apt. 062,Derrickbury,UT,37385,853.81,2021-01-07,29083499,U5060006,1
736 John Skyway,736 John Skyway,,West Brettbury,MA,67580,368.24,2021-01-07,36878150,U7285956,1
8525 Evans Springs,8525 Evans Springs,,Lake Diana,MO,39074,66.96,2021-01-07,40879667,U4704480,0
8763 Walls Dam Apt. 941,8763 Walls Dam,Apt. 941,Mercerland,ND,17607,499.14,2021-01-07,32127604,U4576044,0
638 Peters Pines West,638 Peters Pines West,,Virginiafort,MA,93822,699.84,2021-01-07,20852402,U2480584,0
112 Joshua Brook,112 Joshua Brook,,North Brianfort,MA,15249,651.11,2021-01-07,61828503,U2944277,1
037 Ryan Locks Suite 679,037 Ryan Locks,Suite 679,Wangbury,PA,37560,676.84,2021-01-08,38411620,U3284739,1
4188 Ross Divide,4188 Ross Divide,,Nathanbury,TX,02218,236.69,2021-01-08,48720549,U2651761,1
67021 Michael Rest,67021 Michael Rest,,Gamblefort,SD,32110,300.95,2021-01-08,66390677,U9845130,0
98028 William Courts Apt. 816,98028 William Courts,Apt. 816,East Randy,VT,91477,288.13,2021-01-08,14956709,U7066594,1
309 Wendy Crest Suite 136,309 Wendy Crest,Suite 136,Lake Brandonfort,TN,83082,137.86,2021-01-08,91554864,U4258651,0
89770 Burke Manors,89770 Burke Manors,,Brayfort,DC,46745,347.15,2021-01-08,76554137,U7620066,0
25474 Rebecca Courts,25474 Rebecca Courts,,Jamesmouth,AR,40940,211.04,2021-01-08,44646512,U4732209,1
300 Davis Knoll Apt. 136,300 Davis Knoll,Apt. 136,Mezatown,IN,21631,741.62,2021-01-08,64628703,U2401372,0
8448 Jared Union Port,8448 Jared Union Port,,Douglasmouth,IL,93368,594.02,2021-01-08,82764770,U6856287,0
463 Stanley Dam,463 Stanley Dam,,Lake Stacey,MN,06328,24.35,2021-01-08,36234722,U8181376,1
60108 Dennis Turnpike Apt. 511,60108 Dennis Turnpike,Apt. 511,Kendramouth,WA,36486,23.29,2021-01-08,96198309,U4776711,0
40458 Guerrero Road Apt. 989,40458 Guerrero Road,Apt. 989,North Kristin,RI,13230,887.04,2021-01-08,20664238,U3341426,0
04247 Edward Walk Apt. 257,04247 Edward Walk,Apt. 257,New Nicoleborough,PA,19061,772.74,2021-01-08,74445779,U9474172,1
266 Devon Green Suite 860,266 Devon Green,Suite 860,West Melanie,MO,36951,574.63,2021-01-08,89397384,U9417114,0
91833 Lee Pike Suite 805,91833 Lee Pike,Suite 805,Bobbyborough,MD,52035,758.92,2021-01-08,22143134,U7889544,0
4863 Gardner Freeway Suite 743,4863 Gardner Freeway,Suite 743,Michaelport,MS,99902,372.61,2021-01-08,52252112,U8753315,0
69736 Adam Expressway,69736 Adam Expressway,,Guerreroside,NC,94829,833.99,2021-01-08,93618681,U1862138,1
41423 Turner Ranch North,41423 Turner Ranch North,,David,DC,06615,586.98,2021-01-08,67955957,U4571752,0
750 Kevin Key Apt. 602,750 Kevin Key,Apt. 602,Jennifertown,FL,59981,559.44,2021-01-08,62253458,U8214315,0
735 Natasha Lakes Suite 882,735 Natasha Lakes,Suite 882,Rodneyport,RI,12476,598.07,2021-01-08,45427588,U7367144,1
785 Brent Divide,785 Brent Divide,,Fishertown,ID,10072,469.39,2021-01-08,55527597,U9843723,1
472 Hamilton Fall South,472 Hamilton Fall South,,Henry,LA,59187,865.81,2021-01-08,59307788,U4719617,0
391 Ware Turnpike,391 Ware Turnpike,,Zamorachester,UT,39595,122.88,2021-01-08,48667501,U8165634,1
86548 Brown Rapid East,86548 Brown Rapid East,,Katherine,LA,08077,247.64,2021-01-08,70506370,U9383194,1
57913 Johnson Lock,57913 Johnson Lock,,Mendezville,AZ,00689,959.12,2021-01-08,85983659,U3268150,0
3020 Massey Light Port,3020 Massey Light Port,,William,NE,19632,250.6,2021-01-08,80063466,U3001446,1
999 Brooks Prairie Suite 619,999 Brooks Prairie,Suite 619,Lake Melanie,ND,68664,775.87,2021-01-08,68290270,U9801801,0
6456 Miranda Neck Suite 206,6456 Miranda Neck,Suite 206,East Adam,NH,36532,232.02,2021-01-08,72679941,U7714423,1
8084 Mueller Underpass Suite 202,8084 Mueller Underpass,Suite 202,North Cherylland,KS,87757,759.16,2021-01-08,11663634,U7784511,0
